Vehicle Type,Trip Duration,duration,Trip Distance,datetime,End Time,month,hour,day ,Start District,End District,checkout_kiosk_id,checkin_kiosk_id,year,lat,lon,lat1,lon1,status
bicycle,31,0.52,40,10/25/2018 01:30:00,10/25/2018 01:30:00,10,13,4,9,9,15178,15178,2018,30.264,-97.738,30.264,-97.738,Active
bicycle,708,11.8,172,09/23/2018 02:15:00,09/23/2018 02:15:00,9,14,7,3,3,15807,15965,2018,30.262,-97.726,30.263,-97.726,Active
bicycle,2760,46,0,09/17/2018 03:00:00,09/17/2018 03:45:00,9,15,1,8,3,12973,15332,2018,30.264,-97.77,30.255,-97.734,Active
bicycle,840,14,4504,09/22/2018 09:00:00,09/22/2018 09:15:00,9,21,6,5,9,13446,14864,2018,30.265,-97.761,30.266,-97.74,Active
bicycle,2377,39.62,4129,09-02-2018 21:30,09-02-2018 22:15,9,21,7,9,9,13917,13917,2018,30.261,-97.755,30.261,-97.755,Active
bicycle,900,15,791,10-07-2018 01:30,10-07-2018 01:45,10,1,7,9,9,14710,14714,2018,30.275,-97.744,30.285,-97.743,Active
bicycle,640,10.67,1471,10-02-2018 12:30,10-02-2018 12:30,10,12,2,9,9,14713,14392,2018,30.281,-97.742,30.268,-97.749,Active
bicycle,402,6.7,5,10-05-2018 21:45,10-05-2018 21:45,10,21,5,9,9,14705,14705,2018,30.264,-97.743,30.264,-97.743,Active
bicycle,120,2,314,09-10-2018 11:15,09-10-2018 11:15,9,11,1,9,9,14863,14863,2018,30.263,-97.742,30.263,-97.74,Active
bicycle,600,10,88,10-01-2018 17:15,10-01-2018 17:15,10,17,1,9,9,15018,15018,2018,30.259,-97.738,30.259,-97.738,Active
bicycle,480,8,1553,09/26/2018 01:00:00,09/26/2018 01:15:00,9,1,3,5,5,13442,12814,2018,30.256,-97.762,30.259,-97.771,Active
bicycle,240,4,1188,08/26/2018 03:15:00,08/26/2018 03:15:00,8,15,7,9,9,14385,14385,2018,30.25,-97.749,30.25,-97.749,Active
bicycle,1,0.02,0,10-10-2018 18:45,10-10-2018 18:45,10,18,3,3,3,15489,15489,2018,30.255,-97.732,30.255,-97.732,Active
bicycle,180,3,8,09/21/2018 12:45:00,09/21/2018 01:00:00,9,0,5,9,9,15021,15019,2018,30.264,-97.738,30.26,-97.739,Active
bicycle,1980,33,27,10-06-2018 14:15,10-06-2018 14:45,10,14,6,9,9,14079,13921,2018,30.271,-97.754,30.271,-97.754,Active
bicycle,536,8.93,0,11/18/2018 12:00:00,11/18/2018 12:15:00,11,12,7,9,9,15168,15168,2018,30.239,-97.737,30.239,-97.737,Active
bicycle,455,7.58,70,09/23/2018 01:15:00,09/23/2018 01:15:00,9,13,7,9,9,14389,14389,2018,30.261,-97.747,30.26,-97.747,Active
bicycle,660,11,1825,09/24/2018 10:45:00,09/24/2018 10:45:00,9,22,1,5,9,13442,13437,2018,30.255,-97.762,30.245,-97.763,Active
bicycle,360,6,35,10-05-2018 21:15,10-05-2018 21:30,10,21,5,9,9,14075,14544,2018,30.263,-97.754,30.255,-97.745,Active
bicycle,38,0.63,12,10/25/2018 11:15:00,10/25/2018 11:15:00,10,11,4,9,9,14075,14075,2018,30.263,-97.754,30.263,-97.754,Active
bicycle,480,8,47,10-02-2018 16:00,10-02-2018 16:00,10,16,2,9,9,14861,14389,2018,30.26,-97.741,30.26,-97.749,Active
bicycle,4744,79.07,219956,10-09-2018 19:30,10-09-2018 20:45,10,19,2,3,10,16122,12826,2018,30.261,-97.721,30.289,-97.772,Active
bicycle,4200,70,5338,09-03-2018 11:30,09-03-2018 12:30,9,11,1,9,9,14705,14705,2018,30.264,-97.743,30.263,-97.743,Active
bicycle,360,6,1380,09-07-2018 08:15,09-07-2018 08:15,9,8,5,9,9,14384,14230,2018,30.249,-97.749,30.258,-97.75,Active
bicycle,660,11,3202,09/26/2018 05:15:00,09/26/2018 05:30:00,9,17,3,5,9,13759,12977,2018,30.26,-97.757,30.275,-97.769,Active
bicycle,4239,70.65,3277,10/19/2018 11:45:00,10/19/2018 12:45:00,10,11,5,9,8,14705,12815,2018,30.263,-97.744,30.264,-97.773,Active
bicycle,420,7,2034,10-03-2018 19:00,10-03-2018 19:00,10,19,3,3,9,15964,14864,2018,30.261,-97.725,30.267,-97.741,Active
